"Ticker","Nome","Negócios","Última (R$)","Variação"
"IRBR3","IRB Brasil RE","637.400","45,22","-1,42%"
"SEER3","Ser Educacional","633.300","9,37","-0,11%"
"ALUP11","Alupar","624.400","30,57","-2,43%"
"CSED3","Cruzeiro do Sul Educacional","621.600","5,03","-2,33%"
"USIM3","Usiminas","609.000","4,31","+3,36%"
"HBRE3","HBR Realty","601.900","3,32","-4,05%"
"PNVL3","Dimed","594.500","9,59","-1,13%"
"ZAMP3","Zamp","592.400","3,50","+2,94%"
"PMAM3","Paranapanema","568.800","1,63","-7,91%"
"FESA4","Ferbasa","568.600","6,92","-2,40%"
"MDNE3","Moura Dubeux","555.900","23,06","-1,83%"
"VTRU3","VITRUBREPCOM","521.900","9,00","-4,56%"
"MELK3","Melnick","482.700","3,30","+0,00%"
"AERI3","Aeris Energy","462.800","4,50","+7,66%"
"CMIG3","Cemig","439.400","15,49","-0,90%"
"JSLG3","JSL","435.300","5,73","-4,02%"
"ITUB3","Itaú Unibanco","433.700","32,81","-0,61%"
"WIZC3","Wiz Soluções","428.100","7,35","-2,91%"
"MTRE3","Mitre Realty","403.500","3,93","-1,26%"
"DESK3","Desktop","399.700","9,20","-4,86%"
"OPCT3","OceanPact","383.400","6,75","-1,32%"
"TCSA3","Tecnisa","380.700","1,60","-3,61%"
"MATD3","Mater Dei","372.600","4,50","-0,44%"
"TGMA3","Tegma","351.500","35,17","-0,14%"
"BMGB4","Banco BMG","346.200","3,68","+0,00%"
"KLBN3","Klabin","333.900","3,90","+2,36%"
"RCSL4","Recrusul","333.300","0,94","-1,05%"
"VULC3","Vulcabras","324.100","21,00","-1,50%"
"TASA4","Taurus","312.400","6,91","+0,58%"
"SHUL4","Schulz","303.800","5,22","-2,61%"
"LOGG3","LOG CP","280.200","20,25","-2,60%"
"FIQE3","Unifique","272.600","3,82","+0,00%"
"SAPR3","Sanepar","268.100","7,72","-0,64%"
"TFCO4","Track & Field","261.200","14,90","-2,87%"
"LEVE3","Mahle Metal Leve","259.500","29,70","-1,36%"
"TUPY3","Tupy","256.100","18,09","-0,06%"
"SOJA3","Boa Safra Sementes","251.100","11,35","-1,56%"
"PINE4","Banco Pine","239.400","5,99","+1,70%"
"ESPA3","Espaçolaser","237.200","1,10","-0,90%"
"BMOB3","Bemobi","224.800","20,81","-1,14%"
"VLID3","Valid","219.200","25,00","-0,68%"
"AMAR3","Lojas Marisa","187.500","1,37","+0,00%"
"PFRM3","Profarma","183.600","8,44","-3,76%"
"ROMI3","Indústrias ROMI","168.000","8,80","-1,57%"
"AGRO3","BrasilAgro","164.600","20,22","-0,49%"
"BRBI11","BR Partners","164.600","15,49","-0,71%"
"GFSA3","Gafisa","162.100","20,11","-3,50%"
"RNEW4","Renova Energia","150.500","0,97","+5,43%"
"TAEE4","Taesa","146.300","11,57","-1,03%"
"VITT3","Vittia","137.700","4,89","+2,30%"
"AMBP3","Ambipar","130.200","160,20","+2,04%"
"BRST3","Brisanet","129.600","2,94","+0,34%"
"PTBL3","Portobello","127.000","4,57","-0,65%"
"UNIP6","Unipar","123.400","57,86","+0,33%"
"IGTI3","Iguatemi","120.400","2,76","-2,13%"
"IGTI3","Jereissati Participações","120.400","2,76","-2,13%"
"POMO3","Marcopolo","120.100","6,45","+0,78%"
"WHRL4","Whirlpool","105.700","4,69","-6,01%"
"ITSA3","Itaúsa","95.800","10,83","-1,10%"
"ETER3","Eternit","92.300","4,02","+0,75%"
"RNEW3","Renova Energia","88.400","0,99","+4,21%"
"PDTC3","Padtec","83.400","1,02","-3,77%"
"UCAS3","Unicasa","80.900","1,40","+0,00%"
"ALPK3","Estapar","80.100","3,34","+0,00%"
"LPSB3","Lopes","80.000","1,59","+0,00%"
"DEXP3","Dexxos","77.900","9,29","+0,65%"
"AALR3","Alliança","75.800","4,37","-4,79%"
"AMOB3","Automob","74.300","11,48","+0,09%"
"RCSL3","Recrusul","73.600","2,30","-2,13%"
"DMVF3","D1000 Varejo Farma","66.600","4,99","-1,38%"
